ccode1,cowName1,ccode2,cowName2,signDay,signMonth,signYear,EIFDay,EIFMonth,EIFYear,type,category1,category2,category3,span,renewType,renewYears,terminated,durationActual,endYearEstimate,asymmetry,categoryConf,UNTS,fullText,sourceType,source,factivaConf,factivaSign,factivaEIF,DCAid
560,SAF,630,IRN,17,8,2004,,,,general,DCA,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1647
560,SAF,663,JOR,26,9,2000,,,,general,DIC,,,5,-57,5,-88,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1648
560,SAF,670,SAU,20,9,2003,20,9,2003,general,DCA,,,5,-44,-44,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1649
560,SAF,690,KUW,15,7,2002,15,12,2010,general,DCA,,,5,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1650
560,SAF,694,QAT,27,1,2002,27,1,2002,general,DCA,DIC,,,,,0,,2010,1,med,,N,treaty,South Africa Treaty Series,,,,DCADv1.0-1651
560,SAF,694,QAT,7,5,2008,7,5,2008,sector,COMMISSION,,,-88,-88,-88,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1652
560,SAF,696,UAE,18,11,1999,,,,general,DCA,,,5,-55,5,-88,,2009,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1653
560,SAF,710,CHN,11,12,2001,11,12,2001,general,DCA,,,10,-66,-66,0,,2010,1,atypical,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1656
560,SAF,750,IND,4,12,1996,,,,sector,PROCUREMENT,DIC,,,,,-88,,2002,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1657
560,SAF,750,IND,27,9,2000,27,9,2000,general,DCA,,,3,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1658
560,SAF,750,IND,11,12,2003,11,12,2003,sector,PROCUREMENT,,,-77,-77,-77,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1659
560,SAF,770,PAK,26,1,1998,,,,general,DCA,DIC,,5,-57,5,-88,,2008,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1660
